0.03	16.81	17.76	18.77	20.8	24.91	33.34
0.05	10.16	10.72	11.31	12.51	14.95	19.96
0.07	7.31	7.7	8.11	8.95	10.68	14.25
0.11	4.72	4.96	5.21	5.72	6.8	9.07
0.16	3.31	3.46	3.62	3.96	4.68	6.24
0.25	2.2	2.28	2.37	2.57	3	3.99
